,Property,Value,Group,Cohort,Level,Origin
5060,assortativity,0.476,CRC,Yang_2020,phylum,0.476
5061,transitivity,0.4,CRC,Yang_2020,phylum,0.4
5062,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
5063,density,-0.534,CRC,Yang_2020,phylum,-0.534
5064,assortativity,0.667,CRC,Yang_2020,phylum,0.667
5065,transitivity,0.529,CRC,Yang_2020,phylum,0.529
5066,algebraic_connectivity,0.885,CRC,Yang_2020,phylum,0.885
5067,density,-0.237,CRC,Yang_2020,phylum,-0.237
5068,assortativity,1.0,CRC,Yang_2020,phylum,1.0
5069,transitivity,0.667,CRC,Yang_2020,phylum,0.667
5070,algebraic_connectivity,3.0,CRC,Yang_2020,phylum,3.0
5071,density,-0.139,CRC,Yang_2020,phylum,-0.139
5072,assortativity,0.476,CRC,Yang_2020,phylum,0.476
5073,transitivity,0.176,CRC,Yang_2020,phylum,0.176
5074,algebraic_connectivity,1.0,CRC,Yang_2020,phylum,1.0
5075,density,-0.64,CRC,Yang_2020,phylum,-0.64
5076,assortativity,0.667,control,Yang_2020,phylum,0.667
5077,transitivity,0.429,control,Yang_2020,phylum,0.429
5078,algebraic_connectivity,0.764,control,Yang_2020,phylum,0.764
5079,density,-0.528,control,Yang_2020,phylum,-0.528
5080,assortativity,0.357,CRC,Yang_2020,phylum,0.357
5081,transitivity,0.2,CRC,Yang_2020,phylum,0.2
5082,algebraic_connectivity,0.389,CRC,Yang_2020,phylum,0.389
5083,density,-0.005,CRC,Yang_2020,phylum,-0.005
5084,assortativity,0.357,control,Yang_2020,phylum,0.357
5085,transitivity,0.3,control,Yang_2020,phylum,0.3
5086,algebraic_connectivity,0.0,control,Yang_2020,phylum,0.0
5087,density,-0.385,control,Yang_2020,phylum,-0.385
5088,assortativity,0.667,control,Yang_2020,phylum,0.667
5089,transitivity,0.632,control,Yang_2020,phylum,0.632
5090,algebraic_connectivity,1.0,control,Yang_2020,phylum,1.0
5091,density,-0.517,control,Yang_2020,phylum,-0.517
5092,assortativity,0.667,control,Yang_2020,phylum,0.667
5093,transitivity,0.429,control,Yang_2020,phylum,0.429
5094,algebraic_connectivity,0.764,control,Yang_2020,phylum,0.764
5095,density,-0.528,control,Yang_2020,phylum,-0.528
