,Events,Cohort,Group,Bases
545,62,WirbelJ_2018,CRC,7981205221.0
546,188,WirbelJ_2018,control,2121016251.0
547,70,WirbelJ_2018,CRC,8588614425.0
548,61,WirbelJ_2018,CRC,8588614425.0
549,377,FengQ_2015,CRC,3649611221.0
550,483,FengQ_2015,control,6196998053.0
551,455,FengQ_2015,control,5708593447.0
552,371,FengQ_2015,control,4913627034.0
553,277,FengQ_2015,control,4803585209.0
554,232,FengQ_2015,control,3858680926.0
555,174,FengQ_2015,CRC,4950228947.0
556,411,FengQ_2015,control,4454783107.0
557,667,FengQ_2015,CRC,4856209896.0
558,428,FengQ_2015,control,4040075229.0
559,103,FengQ_2015,CRC,4835999683.0
560,222,FengQ_2015,control,4355968999.0
561,422,FengQ_2015,CRC,5025871310.0
562,249,FengQ_2015,control,4807739197.0
563,318,FengQ_2015,CRC,4449164619.0
564,464,FengQ_2015,CRC,5538869118.0
565,695,FengQ_2015,control,5454210916.0
566,342,FengQ_2015,control,5476469636.0
567,343,FengQ_2015,control,5355969959.0
568,138,FengQ_2015,control,4318051431.0
569,326,FengQ_2015,control,5060468600.0
570,112,FengQ_2015,CRC,5884167688.0
571,530,FengQ_2015,control,5959001442.0
572,215,FengQ_2015,control,5698703690.0
573,647,FengQ_2015,control,5544794381.0
574,273,FengQ_2015,CRC,5954870508.0
575,351,FengQ_2015,control,3643571766.0
576,243,FengQ_2015,control,4803936579.0
577,209,FengQ_2015,CRC,4386831217.0
578,227,FengQ_2015,CRC,5529867451.0
579,390,FengQ_2015,control,4485244293.0
580,288,FengQ_2015,control,4423967038.0
581,300,FengQ_2015,control,4469690812.0
582,350,FengQ_2015,CRC,5301119382.0
583,179,FengQ_2015,control,5103889033.0
